Gene,Tier,Homo_sapiens,Macaca_mulatta,Mus_musculus,Rattus_norvegicus,Ailuropoda_melanoleuca,Aotus_nancymaae,Bos_taurus,Callithrix_jacchus,Camelus_dromedarius,Canis_lupus_familiaris,Capra_hircus,Cavia_porcellus,Ceratotherium_simum_simum,Cercocebus_atys,Chinchilla_lanigera,Chlorocebus_sabaeus,Chrysochloris_asiatica,Condylura_cristata,Cricetulus_griseus,Dasypus_novemcinctus,Dipodomys_ordii,Echinops_telfairi,Elephantulus_edwardii,Eptesicus_fuscus,Equus_caballus,Erinaceus_europaeus,Felis_catus,Galeopterus_variegatus,Gorilla_gorilla_gorilla,Heterocephalus_glaber,Ictidomys_tridecemlineatus,Jaculus_jaculus,Loxodonta_africana,Macaca_fascicularis,Macaca_nemestrina,Mandrillus_leucophaeus,Manis_javanica,Mesocricetus_auratus,Microcebus_murinus,Microtus_ochrogaster,Miniopterus_natalensis,Monodelphis_domestica,Mustela_putorius_furo,Nannospalax_galili,Nomascus_leucogenys,Ochotona_princeps,Octodon_degus,Odobenus_rosmarus_divergens,Orcinus_orca,Oryctolagus_cuniculus,Otolemur_garnettii,Ovis_aries,Pan_paniscus,Pan_troglodytes,Papio_anubis,Pongo_abelii,Propithecus_coquereli,Pteropus_vampyrus,Rhinopithecus_roxellana,Rousettus_aegyptiacus,Saimiri_boliviensis_boliviensis,Sorex_araneus,Sus_scrofa,Trichechus_manatus_latirostris,Tupaia_chinensis,Tursiops_truncatus
BCL2L1,Cocaine,NM_001191,xm_015149238.1,nm_001289717.1,nm_001033671.1,xm_011223736.2,xm_012455233.1,xm_015474117.1,xm_008995579.2,xm_010993891.1,xm_005634677.2,xm_018057683.1,xm_013159842.1,xm_014796814.1,xm_012052450.1,xm_005384902.2,xm_008020115.1,xm_006860710.1,xm_012728416.1,xm_007642910.2,xm_004464024.2,xm_013010969.1,xm_004697906.1,xm_006881420.1,xm_008140970.1,xm_014735090.1,xm_007523058.2,nm_001009228.1,xm_008577273.1,xm_004061955.2,xm_004840600.2,xm_005320576.2,xm_004668069.1,xm_010591594.1,xm_005568637.2,xm_011766302.1,xm_011979810.1,xm_017653700.1,xm_013125247.1,xm_012754996.2,xm_005363208.2,xm_016200612.1,xm_007474466.2,xm_013053426.1,xm_017797221.1,xm_012511685.1,xm_004585704.1,xm_004630786.1,xm_004393026.2,xm_012534107.1,xm_008256141.2,xm_012804080.1,xm_012188083.2,xm_008967527.2,xm_003953699.3,xm_017944910.1,xm_003780358.2,xm_012637705.1,xm_011380138.1,xm_010352797.1,xm_016148848.1,xm_010342555.1,xm_004612592.1,nm_214285.1,xm_004370473.1,xm_006154723.2,xm_019950831.1
BDNF,1,NM_001143805,xm_015114598.1,nm_001285418.1,nm_001270637.1,xm_011226480.2,xm_012452245.1,xm_005216336.3,xm_002755152.3,xm_011000276.1,xm_005633265.2,xm_005690026.2,xm_003465009.3,xm_014783686.1,xm_012031697.1,xm_005401753.2,xm_008003703.1,xm_006864853.1,xm_004682965.2,xm_003512746.3,xm_012523604.1,xm_013019596.1,xm_004708254.2,xm_006883716.1,xm_008148951.1,nm_001081787.1,xm_016194242.1,xm_019811175.1,xm_008584222.1,xm_004050848.2,xm_013074565.1,xm_005328051.1,xm_004660848.2,xm_010592173.1,xm_005578346.2,xm_011710309.1,xm_011964723.1,xm_017667614.1,xm_005064810.2,xm_020286540.1,xm_005364052.1,xm_016206156.1,xm_007497203.2,xm_004755891.2,xm_008851145.1,xm_003254347.1,xm_004585441.1,xm_004644116.2,xm_004408654.2,xm_004263942.2,xm_017345633.1,xm_003781198.1,xm_015101095.1,xm_008955892.1,nm_001012441.1,xm_017948544.1,xm_002821931.1,xm_012649566.1,xm_011362567.1,xm_010374529.1,xm_016147415.1,xm_003919938.2,xm_004607860.1,xm_005654685.2,xm_004369738.1,xm_014591303.1,xm_019947884.1
BLNK,Alcohol,NM_001114094,xm_015147834.1,nm_008528.4,nm_001025767.1,xm_011222020.2,xm_012439457.1,xm_005225502.3,xm_017979195.1,xm_010974373.1,xm_005637574.2,xm_018041591.1,xm_003479555.3,xm_004427890.2,xm_012051284.1,xm_013506235.1,xm_007963707.1,xm_006831187.1,xm_004681028.2,xm_003497746.3,xm_004456971.2,xm_013017573.1,xm_013004186.1,xm_006880081.1,xm_008144391.1,xm_005602352.2,xm_016193575.1,xm_006938047.3,xm_008577886.1,xm_004049851.1,xm_004838572.2,xm_013362858.1,xm_012951522.1,xm_010589316.1,xm_005566073.2,xm_011735816.1,xm_012000108.1,xm_017675072.1,xm_005063609.2,xm_012767175.2,xm_005352266.1,xm_016219984.1,xm_007478713.2,xm_004749589.2,xm_008831996.2,xm_012505650.1,xm_004580257.2,xm_012513482.1,xm_004409487.1,xm_004268385.1,xm_008270258.2,xm_012803677.1,xm_004020070.3,xm_003825407.1,xm_001159213.3,xm_009215068.2,xm_003777607.2,xm_012654453.1,xm_011374038.1,xm_010389596.1,xm_016164211.1,xm_003922353.2,xm_012934458.1,xm_001928233.4,xm_004370133.1,xm_006157327.2,xm_019939712.1
BTBD14B,Cocaine,NM_052876,xm_015123004.1,nm_025788.3,nm_134413.2,xm_002921013.3,xm_012436038.1,xm_005208611.3,xm_017967937.1,xm_010981965.1,xm_005632813.2,xm_018051240.1,xm_003468154.3,xm_014796877.1,xm_012094077.1,xm_005381054.2,xm_007995474.1,xm_006874272.1,xm_004688697.2,xm_007624302.2,xm_004483281.2,xm_013034187.1,xm_004715498.1,xm_006900785.1,xm_008157917.1,xm_005611844.2,xm_016192267.1,xm_011289451.2,xm_008579306.1,xm_004060125.1,xm_004872427.1,xm_005336229.2,xm_004672465.1,xm_003413060.2,xm_005567182.2,xm_011711865.1,xm_011994885.1,xm_017664516.1,xm_005087305.2,xm_012790484.2,xm_005370944.1,xm_016218632.1,xm_001365584.3,xm_004748301.2,xm_008855439.1,xm_003275668.3,xm_004595853.1,xm_004635538.1,xm_004398957.1,xm_004277444.2,xm_008253378.2,xm_012810240.1,xm_015095793.1,xm_003814838.3,xm_016935228.1,xm_009193652.1,xm_002828754.3,xm_012641256.1,xm_011382552.1,xm_010361613.1,xm_016162049.1,xm_003941714.2,xm_004616614.1,xm_003123340.5,xm_004389733.1,xm_006161040.2,xm_019930722.1
BTG3,Alcohol,NM_001130914,xm_015133093.1,nm_001297747.1,nm_019290.1,xm_002914447.3,xm_012444763.1,xm_005201155.3,xm_008986506.2,xm_010977403.1,xm_014109728.1,nm_001289948.1,xm_005003427.2,xm_004440742.2,xm_012029814.1,xm_013503870.1,xm_007966745.1,xm_006873156.1,xm_004675302.2,xm_007620486.2,xm_004462639.2,xm_013031050.1,xm_004711309.1,xm_006889819.1,xm_008145605.1,xm_001500427.5,xm_007532082.2,xm_004001326.4,xm_008580170.1,xm_004062607.2,xm_004842210.2,xm_005324316.1,xm_004654369.2,xm_010590353.1,xm_015446961.1,xm_011744379.1,xm_011984879.1,xm_017670761.1,xm_005068210.2,xm_012786003.1,xm_005360546.1,xm_016222622.1,xm_001369940.4,xm_004757795.2,xm_017800946.1,xm_004092283.2,xm_004588609.2,xm_004639089.1,xm_004402556.2,xm_004264462.1,xm_002716768.3,xm_012801572.1,nm_001246212.1,xm_008972549.2,xm_001170879.5,xm_009202430.2,xm_009233846.1,xm_012642976.1,xm_011358245.1,xm_010378097.1,xm_016148495.1,xm_003934325.2,xm_004606982.1,nm_001097517.1,xm_004371348.1,xm_014583099.1,xm_019922658.1
C10orf26,Alcohol,NM_001083913,xm_015148010.1,nm_146099.3,nm_001127484.1,xm_002913919.3,xm_012439563.1,xm_015469589.1,xm_002756564.3,xm_010987143.1,xm_005637677.2,xm_005698378.3,xm_003475231.3,xm_004428017.2,xm_012051683.1,xm_005403823.2,xm_007963986.1,xm_006831301.1,xm_004681008.2,xm_003510925.3,xm_004478840.2,xm_013017828.1,xm_004700953.1,xm_006879973.1,xm_008144252.1,xm_001498544.4,xm_016191504.1,xm_003994368.4,xm_008579750.1,xm_004050027.2,xm_004866455.2,xm_005333696.1,xm_004659391.1,xm_010589020.1,xm_005566321.2,xm_011735494.1,xm_011977482.1,xm_017681287.1,xm_013126532.1,xm_012770193.1,xm_005352415.1,xm_016219965.1,xm_001378778.3,xm_004749364.2,xm_008845662.2,xm_003255410.3,xm_004579897.1,xm_004631571.1,xm_004401985.2,xm_012534409.1,xm_002718584.3,xm_003787212.2,xm_004020150.2,xm_003825526.2,xm_016919256.1,xm_009215268.1,xm_009245751.1,xm_012661760.1,xm_011385816.1,xm_010356182.1,xm_016154505.1,xm_003922243.2,xm_004616313.1,xm_001929157.6,xm_004370090.1,xm_006166380.2,xm_019920102.1
C4BPB,1,NM_000716,xm_015117829.1,nr_028304.1,nm_016995.2,xm_002928676.3,xm_012459276.1,nm_174253.3,xm_002760748.4,xm_010991322.1,xm_846518.4,xm_005690425.3,xm_013158100.1,xm_014783457.1,xm_012040381.1,xm_005375411.2,xm_007988640.1,xm_006834206.1,,xm_016967299.1,xm_012529631.1,xm_013017374.1,xm_013003939.1,xm_006888000.1,xm_008154269.1,xm_014739474.1,xm_016191713.1,xm_003999447.4,xm_008587664.1,xm_019029933.1,xm_013078594.1,xm_005329471.2,xm_004663452.1,xm_010590415.1,xm_005540676.2,xm_011746922.1,xm_011966922.1,xm_017644609.1,xm_013120362.1,xm_012760816.2,xm_005348308.2,xm_016216007.1,xm_001372768.3,xm_004756176.2,xm_008823348.1,xm_003282360.2,,xm_004641196.1,xm_004415530.1,xm_004282414.1,,xm_003792317.2,nm_001308575.1,xm_003822901.3,xm_016937597.1,xm_017949932.1,xm_002809528.3,xm_012638795.1,xm_011384999.1,xm_010365644.1,xm_016129251.1,xm_003930423.2,xm_004616224.1,xm_013979643.1,xm_004375340.2,xm_006159287.2,xm_019952238.1
CA2,Alcohol,NM_000067,nm_001195417.1,nm_009801.4,nm_019291.1,xm_002916893.3,xm_012470991.1,nm_178572.2,xm_002759040.4,xm_010979363.1,nm_001145170.1,xm_018058179.1,xm_003480004.3,xm_004441135.2,xm_012031812.1,xm_013512866.1,xm_008001008.1,xm_006859237.1,xm_004679755.2,xm_007615306.1,xm_004474759.2,xm_013012557.1,xm_004697485.1,xm_006880554.1,xm_008160369.1,xm_001488490.3,xm_007535347.2,xm_003999946.4,xm_008572647.1,xm_004047220.2,xm_004841979.2,xm_005328629.2,xm_004656916.1,xm_003408241.2,nm_001283685.1,xm_011733524.1,xm_011995637.1,xm_017668065.1,xm_005066808.2,xm_012774242.1,xm_005361840.2,xm_016198949.1,xm_001366608.4,xm_004766964.2,xm_008836926.2,xm_003269520.3,xm_004588120.2,xm_004643093.1,xm_004393757.2,xm_004276152.1,nm_001195708.1,xm_003782508.2,xm_015097673.1,xm_008956643.2,nm_001194924.1,xm_003902932.2,xm_002819240.3,xm_012643610.1,xm_011375932.1,xm_010381756.1,xm_016153140.1,xm_010351221.1,xm_004602550.1,xm_001927805.2,xm_004370796.1,xm_014592507.1,xm_004324933.2
CACNA1D,Alcohol,NM_000720,xm_015130687.1,nm_001302637.1,xm_017600061.1,xm_019809678.1,xm_012460738.1,xm_010817674.1,xm_017964971.1,xm_010985014.1,xm_014122088.1,xm_018066674.1,xm_005008263.2,xm_014788499.1,xm_012059508.1,xm_005387368.2,xm_007984595.1,xm_006862050.1,xm_004676058.2,xm_003496113.2,xm_012527534.1,xm_013030744.1,xm_004715208.1,xm_006892225.1,xm_008146329.1,xm_014731497.1,xm_007531402.2,xm_019822924.1,xm_008587553.1,xm_019024050.1,xm_013065384.1,xm_005317204.2,xm_004652736.1,xm_010590107.1,xm_005547395.2,xm_011739655.1,xm_011986179.1,xm_017668844.1,nm_001281849.1,xm_012771602.1,xm_013346913.1,xm_016210207.1,xm_007500612.2,xm_004738201.2,xm_008851828.1,xm_012510128.1,xm_004581549.1,xm_004631686.1,xm_004411446.1,xm_004267920.2,xm_017343881.1,xm_003789391.2,xm_012099899.2,xm_003818730.3,xm_016941300.1,xm_003894288.3,xm_009238911.1,xm_012638166.1,xm_011378418.1,xm_010376188.1,xm_016156352.1,xm_003936561.2,xm_004615165.1,xm_013981782.1,xm_004368620.1,xm_006169290.2,xm_019947421.1
CACNG1,Alcohol,NM_000727,xm_001111491.3,nm_007582.2,nm_019255.1,xm_002924623.3,xm_012453861.1,nm_001080337.1,xm_002748641.2,xm_010983967.1,xm_848458.4,xm_018063976.1,xm_003465938.2,xm_004432675.2,xm_012089496.1,xm_005402150.2,xm_008012035.1,xm_006833596.1,xm_004693452.2,xm_003501853.1,xm_004450046.1,xm_013037124.1,xm_004707285.1,xm_006886266.1,xm_008149404.1,xm_001499847.3,xm_007524910.1,xm_003997076.4,xm_008563740.1,xm_004041116.1,xm_004870259.1,xm_005328230.2,xm_004655128.2,xm_003417297.1,xm_005584747.2,xm_011719556.1,xm_011999172.1,xm_017652792.1,xm_005069991.2,xm_012747420.2,xm_005350439.1,xm_016205122.1,xm_001370308.3,xm_004749119.2,xm_008843197.1,xm_003268661.1,xm_004592969.1,xm_004630036.1,xm_004415766.1,xm_004275400.1,nm_001082393.1,xm_003786189.1,xm_015098414.1,xm_003812355.1,xm_001163880.3,xm_003913324.2,xm_002827743.1,xm_012656898.1,xm_011368576.1,xm_010379983.1,xm_016143572.1,xm_003931808.2,xm_012934855.1,nm_001044605.1,xm_004374201.1,xm_006146764.1,xm_019938625.1
CALB2,Alcohol,NM_001740,xm_015126540.1,nm_007586.1,nm_053988.1,xm_002920946.3,xm_012437503.1,nm_001035288.1,xm_008986184.2,xm_010997950.1,xm_005620891.2,xm_005692230.3,xm_003472154.3,xm_004431812.2,xm_012041225.1,xm_005403497.2,xm_007993713.1,xm_006860184.1,xm_004690402.2,xm_003501059.1,xm_004448829.1,xm_013012825.1,xm_004704560.1,xm_006878626.1,xm_008139985.1,xm_001500692.3,xm_007526658.2,xm_011290221.2,xm_008591572.1,xm_019012871.1,xm_004842895.1,xm_005318401.1,xm_004659562.1,xm_003417070.2,xm_005592477.2,xm_011757561.1,xm_011976756.1,xm_017644390.1,xm_013115598.1,xm_012742668.1,xm_005345681.2,xm_016197732.1,xm_016430056.1,xm_004782156.1,xm_008834969.1,xm_012504595.1,xm_004584009.1,xm_012513512.1,xm_004393290.1,xm_004273241.1,xm_002711709.3,xm_012806108.1,xm_004015126.3,xm_003829487.1,xm_016930126.1,xm_003917160.2,xm_002826617.3,xm_012641520.1,xm_011380656.1,xm_010354044.1,xm_016164517.1,xm_003939933.1,xm_004600542.1,nm_001194980.2,xm_004387792.1,xm_006152666.1,xm_019935540.1
CALCA,Alcohol,NM_001033952,xm_015114808.1,nm_001305616.1,xm_008759676.2,xm_011226573.2,xm_012456588.1,nm_001143737.2,xm_002754995.4,xm_010977237.1,nm_001003266.2,xm_005689588.3,xm_003465717.2,xm_004418466.2,xm_012081901.1,xm_005380337.2,xm_008005977.1,xm_006865781.1,xm_004683021.1,xm_003506404.1,xm_004472516.1,xm_013034132.1,xm_004711564.1,xm_006892049.1,xm_008151088.1,xm_014741479.1,xm_016192750.1,xm_003993016.4,xm_008574982.1,xm_004050746.2,xm_004851472.1,xm_005326775.1,xm_004650843.1,xm_010592211.1,xm_005578544.2,xm_011750075.1,xm_011999562.1,xm_017671479.1,xm_005075644.2,xm_012780611.1,xm_013347668.1,xm_016225220.1,xm_001378907.4,xm_004752034.2,xm_008853523.1,xm_004092646.2,xm_012929406.1,xm_004634903.1,xm_004415567.1,xm_004279149.1,xm_017349445.1,xm_003781130.1,xm_004016130.3,xm_003818195.3,xm_003312930.4,xm_017948587.1,xm_009246587.1,xm_012654290.1,xm_011384403.1,xm_010388369.1,xm_016139501.1,xm_003919867.2,xm_004613655.1,xm_005661110.2,xm_004369672.1,xm_006142528.2,xm_004328533.2
CALM2,Alcohol,NM_001305624,xm_015112301.1,nm_007589.5,nm_017326.3,xm_011216806.2,xm_012473732.1,nm_001242587.1,xm_008980735.1,xm_010984032.1,xm_859552.4,xm_005686574.3,nm_001252431.2,xm_004436675.2,xm_012070330.1,xm_005391051.2,xm_007970714.1,xm_006839429.1,xm_004686224.2,xm_007628792.2,xm_004447344.2,xm_013017983.1,xm_004699753.2,xm_006880899.1,xm_008162161.1,nm_001283082.1,xm_007534268.2,xm_003983965.4,xm_008586396.1,xm_019021098.1,xm_004839404.2,xm_005324489.2,xm_012949148.1,xm_010597275.1,nm_001285041.1,xm_011713152.1,xm_011965770.1,xm_017651068.1,xm_005077276.2,xm_012762363.2,xm_005354714.2,xm_016222172.1,xm_001375500.3,xm_004753012.2,xm_008823051.2,xm_012501414.1,xm_004582790.2,xm_004627682.2,xm_004403385.1,xm_004264980.1,nm_001195640.1,xm_003787895.2,nm_001009759.1,xm_014343809.1,xm_016943209.1,xm_003908607.3,nm_001132771.1,xm_012638862.1,xm_011361319.1,xm_010364295.1,xm_016142183.1,xm_003926741.2,xm_004618598.2,xm_003125163.3,xm_004369486.2,xm_006159876.2,xm_019942772.1
CAMK2A,Opiods,NM_015981,xm_015141231.1,xm_006525541.3,nm_012920.1,xm_002918160.3,xm_012451055.1,xm_005209593.2,xm_008987824.2,xm_010991170.1,xm_005619299.2,xm_005683168.3,xm_013140951.1,xm_004428648.2,xm_012068771.1,xm_005380581.2,xm_008014976.1,xm_006863879.1,xm_004686881.2,xm_007617495.1,xm_012530455.1,xm_013025509.1,xm_004696723.1,xm_006893695.1,xm_008152210.1,xm_005599297.2,xm_007516404.2,xm_011286079.2,xm_008565899.1,xm_004042808.2,xm_004854415.2,xm_005324162.2,xm_004664775.1,xm_010591857.1,xm_005558247.2,xm_011716004.1,xm_011985361.1,xm_017642819.1,xm_013116762.1,xm_012790948.2,xm_005356159.2,xm_016210598.1,xm_007473866.2,xm_004737828.2,xm_008849386.2,xm_012505016.1,xm_004587534.1,xm_004631299.1,xm_004402813.2,xm_004280354.2,xm_008255255.2,xm_012808542.1,xm_004008972.3,xm_003829026.3,xm_016954035.1,xm_003900359.3,nm_001131841.1,xm_012658227.1,xm_011371169.1,xm_010373630.1,xm_016118756.1,xm_003934012.2,xm_004620608.1,xm_005652962.2,xm_004384895.1,xm_006150892.2,xm_019924875.1
CAP2,Alcohol,NM_006366,nm_001266532.1,nm_026056.4,xm_006253753.3,xm_019807728.1,xm_012476579.1,nm_001098979.2,xm_008993922.2,xm_010980100.1,xm_535897.6,xm_018039061.1,xm_003468755.3,xm_004432097.2,xm_012031396.1,xm_005403406.2,xm_007973609.1,xm_006861016.1,xm_004693286.2,xm_007623220.1,xm_004484784.2,xm_013030426.1,xm_013007868.1,xm_006888669.1,xm_008146087.1,xm_001493518.5,xm_007539275.2,xm_011282140.2,xm_008589821.1,xm_004043309.2,xm_004847637.2,xm_013360266.1,xm_004667933.1,xm_003416458.2,xm_005553965.2,xm_011742624.1,xm_011967584.1,xm_017642501.1,xm_013110546.1,xm_012753608.1,xm_005355107.2,xm_016205284.1,xm_001376325.3,xm_004761279.1,xm_008847061.2,xm_003263543.3,xm_004593130.2,xm_012514040.1,xm_004406028.2,xm_004273543.1,xm_002720865.3,xm_012804238.1,xm_012101253.2,xm_008976774.1,xm_016954960.1,xm_017957617.1,nm_001132441.2,xm_012643265.1,xm_011362854.1,xm_010352727.1,xm_016155878.1,xm_003927322.2,xm_004613934.1,xm_003128188.5,xm_004382980.1,xm_006165523.2,xm_019945238.1
CAPNS1,4,NM_001003962,xm_015123735.1,nm_009795.4,xm_017590031.1,xm_011227123.2,xm_012437443.1,nm_174261.1,xm_002762038.4,xm_010978872.1,xm_848541.4,xm_005692515.3,xm_003467227.3,xm_014794840.1,xm_012043697.1,xm_013522335.1,xm_007996473.1,xm_006867332.1,xm_012730553.1,xm_016969258.1,xm_004464875.2,xm_013026187.1,xm_013008075.1,xm_006899706.1,xm_008139845.1,xm_001493867.5,xm_007536910.2,xm_003997895.4,xm_008575650.1,xm_019015937.1,xm_004858977.2,xm_005341949.2,xm_004659944.1,xm_003422301.2,xm_015441592.1,xm_011765101.1,xm_011984810.1,xm_017660077.1,xm_005081830.2,xm_012774945.2,xm_005361263.1,xm_016220976.1,xm_007507897.2,xm_004765159.2,xm_017803426.1,xm_012500065.1,xm_004595030.2,xm_004636757.1,xm_004396449.2,xm_004284180.2,nm_001082264.1,xm_012809141.1,xm_012190219.2,xm_008969123.2,xm_016935745.1,xm_009194219.1,xm_002829102.3,xm_012651559.1,xm_011383546.1,xm_010368809.1,xm_016119714.1,xm_010347974.1,xm_004600723.1,nm_214318.2,xm_004388176.1,xm_006171687.2,xm_019923823.1
CAPZB,4,NM_001206540,xm_015128142.1,nm_001037761.2,xm_006239177.3,xm_019795747.1,xm_012439757.1,xm_005203083.2,xm_003733354.3,xm_010997653.1,xm_005617883.2,xm_018044453.1,xm_005004332.2,xm_014783931.1,xm_012080381.1,xm_005394657.2,xm_007980257.1,xm_006866320.1,xm_004678558.1,xm_007647437.2,xm_012524731.1,xm_013034241.1,xm_004705140.1,xm_006883585.1,xm_008148145.1,xm_005607396.2,xm_007538539.2,xm_019836282.1,xm_008589598.1,xm_004024787.2,xm_004850444.2,xm_005317530.2,xm_004657578.2,xm_010593052.1,xm_005544582.2,xm_011743769.1,xm_011993137.1,xm_017674537.1,xm_005081055.2,xm_012787688.1,xm_005352948.2,xm_016214617.1,xm_007491277.2,xm_004741318.2,xm_008821834.1,xm_012498464.1,xm_004592305.2,xm_004637661.1,xm_012561244.1,xm_012534023.1,xm_017346515.1,xm_012801540.1,xm_012153658.2,xm_008967088.2,xm_003949308.3,xm_003891230.3,nm_001134166.1,xm_012656938.1,xm_011357498.1,xm_010385551.1,xm_016128259.1,xm_010345512.1,xm_004603674.2,xm_005656029.2,xm_004377185.2,xm_014586543.1,xm_019918852.1
CART,Cocaine,NM_004291,nm_001265877.1,nm_001081493.2,xm_006231843.3,xm_002915897.3,xm_012462077.1,nm_001007820.3,xm_002806621.4,xm_010974976.1,xm_847679.3,xm_005694591.3,xm_004999749.2,xm_004420469.2,xm_012089364.1,xm_005413933.1,xm_007974878.1,xm_006870956.1,xm_004678222.2,xm_003503683.2,xm_004465629.1,xm_013015850.1,xm_004703549.1,xm_006900037.1,xm_008161910.1,xm_005599739.2,xm_007531253.2,xm_003981053.2,xm_008589397.1,xm_004065236.2,xm_004872854.2,xm_005328966.1,xm_004651548.1,xm_003408092.1,xm_005557118.1,xm_011730214.1,xm_011985230.1,xm_017656323.1,xm_005065611.2,xm_020290220.1,xm_005356426.2,xm_016223444.1,xm_007486502.2,xm_004764485.2,xm_008838480.2,xm_003266043.3,xm_004586155.2,xm_004623018.1,xm_004403428.1,xm_004270792.1,xm_008274526.2,xm_003785897.1,xm_015101190.1,xm_003813975.2,xm_001155069.5,xm_003899785.2,xm_002815634.2,xm_012664547.1,xm_011372734.1,xm_010380260.1,xm_016122092.1,xm_003925765.2,xm_004608501.1,nm_001099925.1,xm_004374509.1,xm_006169502.2,xm_019929231.1
CASP3,Opiods,NM_004346,xm_015139583.1,xm_017312543.1,xm_006253130.3,xm_011237560.2,xm_012472572.1,nm_001077840.1,xm_008992390.2,xm_010974562.1,nm_001003042.1,xm_018041755.1,xm_013151683.1,xm_004428737.2,xm_012086288.1,xm_013513062.1,xm_008000392.1,xm_006834430.1,xm_004682376.2,xm_007641220.2,xm_004481749.1,xm_013026030.1,xm_004696462.1,xm_006882234.1,xm_008151892.1,nm_001163961.1,xm_007517653.2,nm_001009338.1,xm_008571536.1,xm_004040687.2,xm_004853096.1,xm_005329224.2,xm_004673207.1,xm_010595640.1,nm_001284835.1,xm_011759349.1,xm_012000158.1,xm_017648259.1,nm_001281582.1,xm_012784958.2,xm_013352049.1,xm_016211280.1,xm_007495982.2,xm_004757721.2,xm_008853573.2,xm_003271472.3,xm_004579015.2,xm_004639777.1,xm_012566766.1,xm_004281736.2,xm_017350032.1,xm_003792784.2,xm_015104560.1,xm_003823462.2,xm_009448537.2,xm_009207950.1,xm_009240500.1,xm_012644029.1,xm_011364025.1,xm_010377929.1,xm_016143993.1,xm_010344350.1,xm_004610360.1,xm_005671704.2,xm_004389668.1,xm_006160438.2,xm_019921545.1
CCK,4,NM_000729,xm_002802837.2,nm_031161.4,nm_012829.2,xm_002923806.3,xm_012460127.1,nm_001046603.2,xm_002759760.3,xm_010974816.1,xm_846822.4,xm_005695576.3,xm_003476862.3,xm_014790931.1,xm_012034135.1,xm_005383549.2,xm_007983784.1,xm_006868762.1,xm_004676277.2,xm_003500692.1,xm_004478330.1,,xm_004708554.1,xm_006903519.1,xm_008154648.1,xm_001501653.3,xm_007517427.2,xm_003992210.4,xm_008571290.1,,xm_004835106.2,xm_005337940.1,xm_012949575.1,xm_003409718.1,nm_001283607.1,xm_011738859.1,xm_011984281.1,xm_017672980.1,nm_001281707.1,xm_012770245.2,xm_005348123.1,xm_016196198.1,xm_007505047.2,xm_004754240.2,xm_008849446.1,xm_012511272.1,xm_004581710.1,xm_004640655.1,xm_004414020.2,xm_004277868.1,xm_002713069.3,xm_003794493.2,xm_004018250.2,xm_008951487.2,xm_009445273.2,xm_009201103.1,xm_009239166.1,xm_012648944.1,xm_011357390.1,xm_010374308.1,xm_016163279.1,xm_003930871.2,xm_004614544.2,nm_214237.2,xm_004368424.1,xm_006155393.1,xm_019946658.1
CCND1,Alcohol,NM_053056,nm_001278446.1,nm_007631.2,nm_171992.4,xm_002927904.3,xm_012452985.1,nm_001046273.2,xm_009008643.1,xm_010998080.1,nm_001005757.1,xm_018043271.1,xm_003468321.3,xm_004441084.2,xm_012041333.1,xm_005384251.2,xm_008018194.1,xm_006860824.1,xm_004695082.2,xm_016979521.1,xm_004459361.2,xm_013020873.1,xm_013007464.1,xm_006893229.1,xm_008146841.1,xm_005598361.2,xm_007518687.2,xm_011287102.2,xm_008591634.1,xm_019037203.1,xm_004852170.2,xm_013361964.1,xm_004654248.1,xm_003419533.2,xm_005576982.2,xm_011721173.1,xm_011987072.1,xm_017646975.1,xm_005064110.2,xm_012757670.1,xm_005351611.2,xm_016213460.1,xm_003341576.3,xm_004759617.2,xm_008854962.2,xm_003278020.3,xm_004598233.1,xm_004627113.1,xm_004393801.2,xm_004278047.1,xm_008262911.1,xm_003798291.2,xm_015102997.1,xm_008954211.1,xm_016921434.1,xm_003909423.2,nm_001131301.1,xm_012665577.1,xm_011382485.1,xm_010382131.1,xm_016131604.1,xm_010351907.1,xm_004610442.1,xm_013994006.1,xm_004383633.1,xm_006171239.2,xm_019929091.1
CCR1,Alcohol,NM_001295,xm_015131075.1,nm_009912.4,nm_020542.2,xm_011222757.2,xm_012470782.1,nm_001077839.1,xm_008981469.1,xm_010999939.1,xm_005632330.2,xm_005696042.3,xm_005006840.2,xm_004419607.2,xm_012033356.1,xm_005383456.2,xm_007983943.1,xm_006868850.1,xm_004676244.2,xm_003507727.1,xm_004453176.1,xm_013030263.1,xm_004703999.1,xm_006892966.1,xm_008154260.1,xm_005600756.2,xm_007531431.2,xm_019814628.1,xm_008591093.1,xm_004034008.2,xm_004835032.1,xm_005332912.2,xm_004662146.1,xm_003409696.1,xm_005546896.2,xm_011739034.1,xm_011981075.1,xm_017666568.1,xm_005082282.2,xm_012770308.2,xm_013346493.1,xm_016202737.1,xm_007505075.2,xm_004760812.2,xm_017797848.1,xm_003256980.3,xm_004581410.2,xm_004640768.1,xm_004399151.1,xm_012538290.1,xm_008260477.2,xm_012808034.1,xm_015102460.1,xm_003818470.2,xm_516415.5,xm_003894540.3,xm_003776263.2,xm_012641223.1,xm_011357331.1,xm_010374794.1,xm_016141354.1,xm_010337185.1,xm_004614519.1,nm_001001621.1,xm_004368705.1,xm_006170129.2,xm_019946999.1
